@relation dmTraining

@attribute deviceType {1,2,3,4,5,6}
@attribute textProbability numeric
@attribute tweetRatio numeric
@attribute chiSquaredMin numeric
@attribute chiSquaredSec numeric
@attribute entropyHours numeric
@attribute entropyMin numeric
@attribute entropySec numeric
@attribute accountRep numeric
@attribute urlRatio numeric
@attribute hashtagRatio numeric
@attribute mentionRatio numeric
@attribute retweetRatio numeric
@attribute mobileDevice numeric
@attribute webDevice numeric
@attribute appDevice numeric
@attribute miscDevice numeric
@attribute botDevice numeric
@attribute otherDevice numeric
@attribute class_attr {0,1}

@data
3,0.68,1.004063,0.526597,0.795328,0.15257,0.938601,0.997974,0.269504,0.999066,0.00249,0.186741,0,0.02023,0.000934,0.978214,0.000311,0,0.000311,1
1,0.02,0.989375,0,0.564474,0.141174,0.775969,0.99535,0.669753,0.155898,0.005335,0.621221,0.467151,0.99084,0.006949,0.001579,0,0,0.000632,0
1,0,0.764375,0.297948,0.414716,0.486074,0.944156,0.995939,0.196117,0.147082,0.712062,0.370428,0.474652,0.852821,0.13287,0.012674,0,0,0.001635,0
1,0,1.005625,0.260509,0.763409,0.325505,0.92168,0.997357,0.610942,0.284643,0.560809,0.574503,0.046924,0.42977,0.071784,0.120572,0.373524,0,0.004351,0
5,0.95,1.015313,0.42284,0.103661,0,0.327364,0.989441,0.999951,1,0.000308,0.953832,0,0,0,0,0,1,0,1
1,0,1.001562,0.005398,0.084913,0.347669,0.921561,0.997764,0.539554,0.012826,0.474134,0.337751,0.270203,0.94415,0.052106,0.003432,0,0,0.000312,0
1,0.14,0.990625,0.00008,0.959454,0.13686,0.59703,0.989171,0.932864,0.416309,0.005722,0.143062,0.779495,0.958675,0.028707,0,0,0.012618,0,0
1,0,0.996563,0.000006,0.926555,0.119594,0.740305,0.994313,0.627451,0.347656,0.013184,0.373535,0.357792,0.690185,0.297272,0.011916,0,0,0.000627,0
1,0,1.0025,0.000002,0.748014,0.012246,0.299343,0.962773,0.51939,0.234679,0.079223,1.768311,0.791459,0.999377,0,0,0,0,0.000623,0
2,0.02,1.009688,0,0.720567,0.057104,0.289814,0.895925,0.495095,0.956479,3.276713,0.055213,0.047044,0,0.99969,0,0,0.00031,0,0
1,0,0.120313,0.25826,0.293191,0.695461,0.975709,0.979286,0.255973,0.147309,0.362606,0.76204,0.083117,0.355844,0.176623,0.122078,0.335065,0,0.01039,0
1,0.01,1.000938,0.005869,0.355274,0.233382,0.833983,0.996833,0.834146,0.023197,0.041627,0.816969,0.017484,0.64221,0.357165,0.000312,0.000312,0,0,0
3,0.02,1.005313,0.330089,0.207774,0.411173,0.926109,0.998017,0.54878,0.303526,0.462741,0.578699,0.144855,0.795772,0.000933,0.203295,0,0,0,0
2,0.03,1.014375,0.876843,0.240571,0.251124,0.93927,0.997398,0.71549,0.145412,0.03743,0.971514,0.069932,0.249538,0.749538,0.000616,0,0,0.000308,0
1,0,1.001875,0.76845,0.363936,0.354815,0.963567,0.998351,0.419006,0.043822,0.668772,0.575207,0.209919,0.931691,0.05864,0.004991,0,0.002807,0.001871,0
1,0.04,0.99625,0,0.4098,0.349173,0.869123,0.995724,0.372694,0.278256,0.113533,0.427775,0.381117,0.952321,0.013802,0.005332,0,0,0.028545,0
3,1,1.010938,0,0,0.000904,0.119006,0.221607,1,0,0,0,0,0,0,1,0,0,0,1
2,0,1.007187,0,0.995839,0.278818,0.644047,0.989657,0.703946,0.030472,0.280565,1.008919,0.165064,0.078809,0.894198,0,0.026993,0,0,0
1,0.03,0.999375,0.297266,0.153861,0.492229,0.918809,0.997453,0.486174,0.463185,1.859589,0.382705,0.634772,0.835835,0.009068,0.101626,0.048155,0,0.005316,0
1,0.02,1.013437,0.018753,0.012018,0.211471,0.859323,0.997814,0.792432,0.081422,0.030372,0.662682,0.045637,0.97934,0,0.020043,0,0,0.000617,0
3,0.02,1.000312,0.092382,0.501819,0.406214,0.971167,0.997302,0.448649,0.999687,4.848343,0.092245,0.000937,0.002187,0,0.997813,0,0,0,0
1,0,1.003437,0.000598,0.511842,0.147541,0.850191,0.996954,0.425061,0.709411,0.043478,1.093561,0.434133,0.701651,0.292121,0.005917,0,0,0.000311,0
1,0,0.015,0.14671,0.291014,0.467281,0.841267,0.825094,0.503597,0.021277,0.808511,0.361702,0.020833,0.479167,0.5,0,0,0,0.020833,0
1,0,0.994687,0,0.878555,0.137636,0.583504,0.976749,0.524837,0.196286,0,6.291777,0.407791,1,0,0,0,0,0,0
1,0.01,0.0175,0.361281,0.901939,0.355157,0.827863,0.857135,0.394366,0,0.589744,0.435897,0.303571,1,0,0,0,0,0,0
