@relation metaDMTraining

@attribute textProbability numeric
@attribute deviceType {1,2,3,4,5,6}
@attribute isReply {0,1}
@attribute isRetweet {0,1}
@attribute hashtagDensity numeric
@attribute urlDensity numeric
@attribute mentionDensity numeric
@attribute accountRep numeric
@attribute statusesPerDay numeric
@attribute favoritesPerDay numeric
@attribute class_attr {0,1}

@data
0.02,1,0,0,0.133333,0.066667,0,0.897917,5.167122,2.53051,0
0.03,1,0,0,0,0,0,0.230415,5.662304,4.410995,0
1,3,0,0,0,0,0,1,215.918267,0,1
0.01,1,0,0,0,0,0,0.449183,1.072714,0.492411,0
0.96,5,0,0,0.222222,0,0,0.972973,820.846966,0,1
0.01,1,0,0,0,0.25,0,0.570988,13.73221,14.769663,0
0.01,3,0,0,0.285714,0.142857,0,0.364078,0.332998,0.003521,0
1,3,0,0,0,0,0,1,216.499452,0,1
0.17,1,0,0,0,0.25,0,0.933279,34.128484,12.315541,0
0,3,0,0,0.333333,0.166667,0,0.249258,1.655301,0.10975,0
0.03,3,0,0,0.5,0.1,0,0.505882,1.416803,0.835644,0
0.01,1,0,0,0,0,0,0.450314,1.896403,0.964508,0
1,3,0,0,0,0,0,1,213.518152,0,1
0,1,0,0,0.384615,0,0,0.29697,0.113584,0.05137,0
0,1,0,0,0,0,0,0.584567,25.310979,9.018398,0
0.98,5,0,0,0.130435,0,0,0.813333,23.39426,0,1
0.01,1,1,0,0,0.047619,0.047619,0.476684,0.122974,0.11981,0
0,2,0,0,0.3125,0.0625,0,0.458654,8.571155,3.613732,0
0.01,2,0,0,0,0,0,0.555556,2.095238,0.178571,0
0.96,5,1,0,0,0.111111,0.111111,0.999945,280.769493,0.001707,1
0,1,0,0,0,0.125,0,0.521401,12.194444,5.425926,0
0,3,0,0,0.058824,0.058824,0,0.973977,2.344899,3.951423,0
0.01,1,0,0,0.25,0.25,0,0.041558,5.213362,1.109914,0
1,3,0,0,0,0,0,1,216.324561,0,1
0,1,1,0,0,0,0.285714,0.375,7.69102,13.829528,0
0.99,5,1,0,0,0.1,0.1,0.999945,278.565068,0.001712,1
0.03,1,1,0,0,0,0.25,0.879213,60.411703,12.772205,0
0.03,1,1,0,0,0,0.076923,0.306452,50.698113,0.566038,0
0.02,6,0,0,0,0.058824,0.058824,0.506674,190.086583,45.116225,0
0,1,0,0,0,0,0,0.534754,13.441813,20.115345,0
0.03,1,0,0,0,0.071429,0,0.804754,71.524487,36.666667,0
0.12,1,1,0,0,0,0.071429,0.888231,1.740752,0.797492,0
0.03,2,0,0,0.166667,0.055556,0,0.458482,8.527266,3.592934,0
0.01,1,0,0,0.105263,0,0.105263,0.242718,14.795238,0.025397,0
0,1,0,0,0.333333,0.333333,0,0.046392,5.888172,1.116129,0
0.03,1,0,0,0.047619,0.047619,0,0.355372,0.198777,0.092508,0
0.02,1,1,0,0,0.142857,0.142857,0.25,0.326531,0.163265,0
0,1,1,0,0,0,0.033333,0.299048,24.27421,0.75841,0
0.03,1,0,0,0.25,0,0,0.261745,0.028875,0.013678,0
0.02,2,0,0,0,0,0,0.259346,25.175101,13.921559,0
0,2,1,0,0,0,0.125,0.745249,74.470965,77.582829,0
0.01,1,1,0,0.166667,0,0.166667,0.356179,0.910066,0.299505,0
1,3,0,0,0,0,0,1,216.553728,0,1
0.01,1,0,0,0.105263,0,0.105263,0.242718,14.798413,0.025397,0
0,1,0,0,0,0,0,0.799528,19.682972,22.289164,0
0.05,3,0,0,0.461538,0.076923,0,0.130631,2.141776,1.4667,0
0,2,1,0,0,0,0.125,0.997765,6.164934,2.23562,0
0.05,1,0,0,0,0.111111,0,0.45935,0.041935,0.225,0
0.01,1,0,0,0,0,0,0.719923,12.985816,8.072498,0
0.08,2,0,0,0.333333,0.083333,0.083333,0.47634,293.764756,132.611465,0
0,2,1,0,0,0,0.238095,0.582682,15.417773,5.742594,0
0.08,1,0,0,0.090909,0,0,0.924812,57.878157,9.090278,0
0,2,0,0,0.25,0.125,0.125,0.476298,294.23949,132.887473,0
0.6,5,0,0,0,0,0,0.688312,0.780083,0,1
0.03,1,0,0,0,0.05,0,0.76881,15.052124,2.787998,0
0.02,3,0,0,0,0.058824,0,0.249211,4.971213,3.731005,0
0.02,2,1,0,0,0.058824,0.176471,0.365455,0.235455,0.123737,0
0.01,6,0,0,0.461538,0.076923,0,0.283616,0.283805,0.014937,0
0.05,1,0,0,0,0,0,0.766547,23.38311,20.23172,0
0.06,1,0,0,0,0.222222,0,0.445528,6.670691,0.955454,0
0,1,1,0,0,0,0.05,0.34632,0.035244,0.005096,0
1,3,0,0,0,0,0,0.875,54.604253,0,1
